,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CB,CBS,CBS%,CH,CHS,CHS%,RB,RBS,RBS%,DB,DBS,DBS%,SC,SCS,SCS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
1,Micco,,3,11,11,5,5,0,0,0,1,5,0,0,2,0,0,0,.455,.455,.455,.909,--,--,1.000,0,0,0,--,0,0,0,0,5,--,.400,11,1.000,0,.000,0,.000,30.00%,30.00%,0,0,7,0,4,4,36.36%,.455,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
2,Beresford,,4,14,13,8,8,0,0,0,2,3,0,0,0,0,1,0,.615,.643,.615,1.258,14.000,--,1.000,0,0,0,--,0,0,0,0,8,--,.750,17,1.214,0,.000,0,.000,23.08%,15.38%,0,0,4,1,8,9,64.29%,.615,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
4,JT,,2,5,5,3,3,0,0,0,2,0,0,0,1,0,0,0,.600,.600,.600,1.200,--,--,1.000,0,0,0,--,0,0,0,0,3,--,.500,5,1.000,0,.000,0,.000,20.00%,40.00%,0,0,1,1,2,2,40.00%,.600,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
5,Mally,,11,34,34,23,20,2,0,1,6,11,0,0,4,0,0,1,.676,.676,.824,1.500,--,.000,.971,0,0,0,--,0,0,0,3,28,34.000,1.000,36,1.059,0,.000,0,.000,12.12%,36.36%,0,0,6,2,20,20,58.82%,.688,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
6,Brendo,,2,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,--,--,1.000,0,0,0,--,0,0,0,0,2,--,--,4,1.000,0,.000,0,.000,25.00%,50.00%,0,0,2,0,1,1,25.00%,.500,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
7,Dragon,,7,22,22,11,11,0,0,0,4,7,0,1,2,0,0,3,.500,.500,.500,1.000,--,.000,.864,0,0,0,--,0,0,0,0,11,--,.500,28,1.273,0,.000,0,.000,21.05%,31.58%,0,0,13,3,10,10,45.45%,.579,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
8,Diaz,,11,41,39,27,17,6,4,0,17,20,0,0,4,0,1,0,.692,.683,1.051,1.734,41.000,--,1.000,0,0,0,--,0,0,0,10,41,--,.632,44,1.073,0,.000,0,.000,30.00%,25.00%,0,1,20,5,18,26,63.41%,.675,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
10,AVL,,12,41,40,20,15,4,0,1,16,13,0,0,4,0,0,1,.500,.488,.675,1.163,--,.000,.975,0,0,0,--,0,0,0,5,27,40.000,.545,43,1.049,0,.000,0,.000,40.00%,22.50%,0,1,22,4,16,20,48.78%,.487,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
11,Rossman,,11,38,32,21,15,2,2,2,17,16,0,0,1,0,6,3,.656,.711,1.031,1.742,6.333,2.000,.906,0,0,0,--,0,0,0,6,33,16.000,.684,62,1.632,0,.000,0,.000,27.59%,27.59%,0,0,13,3,15,22,57.89%,.704,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
12,KP,,6,23,23,15,10,4,1,0,14,9,0,0,2,0,0,0,.652,.652,.913,1.565,--,--,1.000,0,0,0,--,0,0,0,5,21,--,.625,23,1.000,0,.000,0,.000,56.52%,21.74%,0,0,14,7,5,9,39.13%,.652,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
13,Lyster,,3,6,6,2,2,0,0,0,1,0,0,0,1,0,0,0,.333,.333,.333,.667,--,--,1.000,0,0,0,--,0,0,0,0,2,--,.333,6,1.000,0,.000,0,.000,33.33%,66.67%,0,0,5,1,0,0,0.00%,.333,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
