,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CB,CBS,CBS%,CH,CHS,CHS%,RB,RBS,RBS%,DB,DBS,DBS%,SC,SCS,SCS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
1,Micco,,7,23,22,9,6,3,0,0,6,8,0,0,2,0,0,0,.409,.391,.545,.937,--,--,1.000,0,0,0,--,0,3,0,3,12,--,.455,23,1.000,0,.000,0,.000,34.78%,21.74%,0,1,19,1,10,12,52.17%,.391,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
2,Beresford,,13,47,43,23,18,5,0,0,7,20,0,0,3,0,2,0,.535,.532,.651,1.183,23.500,--,1.000,0,0,0,--,0,0,0,5,28,--,.667,53,1.128,0,.000,0,.000,22.22%,24.44%,0,2,17,4,24,30,63.83%,.511,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
3,Dyer,,10,38,37,26,14,9,2,1,13,22,0,0,4,0,1,0,.703,.711,1.135,1.846,38.000,--,1.000,0,0,0,--,0,1,0,12,42,37.000,.769,41,1.079,0,.000,0,.000,40.54%,16.22%,0,0,13,6,17,26,68.42%,.694,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
6,Brendo,,5,19,18,11,8,2,0,1,11,6,0,0,1,0,0,2,.611,.579,.889,1.468,--,.000,.889,1,0,0,--,0,0,0,3,16,18.000,.667,23,1.211,0,.000,0,.000,29.41%,11.76%,0,1,7,5,11,12,63.16%,.625,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
12,KP,,11,38,38,24,17,7,0,0,13,12,0,0,4,0,0,0,.632,.632,.816,1.447,--,--,1.000,0,0,0,--,0,0,0,7,31,--,.545,38,1.000,0,.000,0,.000,31.58%,18.42%,0,0,18,5,19,23,60.53%,.632,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
15,Calvert,,13,51,43,27,22,3,2,0,15,19,0,0,2,0,7,0,.628,.667,.791,1.457,7.286,--,1.000,0,0,0,--,0,0,0,5,34,--,.846,72,1.412,0,.000,0,.000,25.00%,18.18%,0,1,12,6,25,35,68.63%,.614,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
16,Vestal,,13,45,42,30,23,3,4,0,25,15,0,0,2,0,1,1,.714,.689,.976,1.665,45.000,1.000,.976,0,0,0,--,0,0,0,7,41,--,.800,50,1.111,0,.000,0,.000,27.91%,13.95%,0,2,17,14,26,31,68.89%,.698,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
19,DeMichele,,11,40,35,21,13,6,2,0,19,21,0,0,3,0,4,3,.600,.625,.886,1.511,10.000,1.333,.914,1,0,0,--,0,0,0,8,31,--,.889,58,1.450,0,.000,0,.000,18.18%,12.12%,0,1,9,8,23,28,70.00%,.636,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
24,Ireton,,11,38,35,28,20,5,0,3,24,18,0,0,0,0,0,0,.800,.737,1.200,1.937,--,--,1.000,0,0,0,--,1,0,0,8,42,11.667,.826,38,1.000,0,.000,0,.000,42.11%,0.00%,0,3,13,3,25,31,81.58%,.714,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
