,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CB,CBS,CBS%,CH,CHS,CHS%,RB,RBS,RBS%,DB,DBS,DBS%,SC,SCS,SCS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
1,Micco,,9,33,33,19,17,1,0,1,7,14,0,0,2,0,0,0,.576,.576,.697,1.273,--,--,1.000,0,0,0,--,0,0,0,2,23,33.000,.625,33,1.000,0,.000,0,.000,39.39%,30.30%,0,0,8,5,17,18,54.55%,.562,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
3,Dyer,,7,20,18,11,8,3,0,0,4,7,0,0,0,0,1,1,.611,.600,.778,1.378,20.000,1.000,.944,0,0,0,--,0,0,0,3,14,--,.600,25,1.250,0,.000,0,.000,55.56%,22.22%,0,1,6,2,6,11,55.00%,.611,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
5,Mally,,11,42,41,27,25,2,0,0,12,18,0,0,2,0,1,0,.659,.667,.707,1.374,42.000,--,1.000,0,0,0,--,0,0,0,2,29,--,.786,45,1.071,0,.000,0,.000,29.27%,29.27%,0,0,8,4,21,24,57.14%,.659,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
6,Brendo,,14,53,46,30,20,3,6,1,13,21,0,0,0,0,4,1,.652,.642,1.043,1.685,13.250,4.000,.978,0,0,0,--,0,1,0,10,48,46.000,.667,67,1.264,0,.000,0,.000,41.67%,31.25%,0,3,19,4,25,35,66.04%,.617,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
7,Dragon,,2,7,7,3,2,1,0,0,1,2,0,0,0,0,0,0,.429,.429,.571,1.000,--,--,1.000,0,0,0,--,0,0,0,1,4,--,.500,7,1.000,0,.000,0,.000,57.14%,42.86%,0,0,8,1,2,2,28.57%,.429,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
8,Diaz,,2,7,6,2,1,1,0,0,2,2,0,0,0,0,1,0,.333,.429,.500,.929,7.000,--,1.000,0,0,0,--,0,0,0,1,3,--,.333,10,1.429,0,.000,0,.000,50.00%,0.00%,0,0,7,0,3,4,57.14%,.333,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
10,AVL,,17,64,60,40,24,3,5,8,29,31,0,0,3,0,3,0,.667,.672,1.283,1.955,21.333,--,1.000,0,0,0,--,0,1,0,16,77,7.500,.550,73,1.141,0,.000,0,.000,47.54%,29.51%,0,1,26,9,33,42,65.62%,.604,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
12,KP,,11,40,36,23,16,4,1,2,20,14,0,0,0,0,1,0,.639,.615,.972,1.588,40.000,--,1.000,0,0,0,--,0,0,0,7,35,18.000,.636,43,1.075,0,.000,0,.000,41.03%,15.38%,1,2,20,5,22,28,70.00%,.583,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
13,Lyster,,10,31,28,14,14,0,0,0,5,5,0,0,2,0,3,3,.500,.548,.500,1.048,10.333,1.000,.893,0,0,0,--,0,0,0,0,14,--,.615,46,1.484,0,.000,0,.000,32.00%,48.00%,0,0,14,4,11,14,45.16%,.560,0.0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,--,0,--,0,0,0,0,--,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,--,0.0,0,0,0,--,0,0
